code,label,slug,restaurant_name,objectID
TYC_1085,Modern Cuisine,modern-cuisine,Barra Alta Madrid,73577
TYC_1049,French,french,Port Petit,73576
TYC_1122,Traditional Cuisine,traditional-cuisine,Smoix,73575
TYC_1122,Traditional Cuisine,traditional-cuisine,San Mamés Jatetxea,73574
TYC_1085,Modern Cuisine,modern-cuisine,Mirko Carturan Cuiner,73573
TYC_1156,Market Cuisine,market-cuisine,FM,73572
TYC_1004,Andalusian,andalusian,FM,73572
TYC_1156,Market Cuisine,market-cuisine,Berri,73571
TYC_1036,Creative,creative,Mina,73570
TYC_1250,Seasonal Cuisine,seasonal-cuisine,Mina,73570
TYC_1014,Basque,basque,Los Fueros,73569
TYC_1067,Italian,italian,Spaghetti Notte,73568
TYC_1036,Creative,creative,La Aquarela,73567
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Laudat,73566
TYC_1156,Market Cuisine,market-cuisine,Laudat,73566
TYC_1122,Traditional Cuisine,traditional-cuisine,El Buey,73565
TYC_1085,Modern Cuisine,modern-cuisine,Tess de Mar,73564
TYC_1122,Traditional Cuisine,traditional-cuisine,Asador La Chumbera,73563
TYC_1128,Meats and Grills,meats-and-grills,Castillería,73562
TYC_1122,Traditional Cuisine,traditional-cuisine,Sa Jambina,73561
TYC_1101,Regional Cuisine,regional-cuisine,Casa el Tio David,73560
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Casa el Tio David,73560
TYC_1036,Creative,creative,Moments,73559
TYC_1027,Catalan,catalan,Garbí,73558
TYC_1101,Regional Cuisine,regional-cuisine,Las Termas,73557
TYC_1036,Creative,creative,Lasarte,73556
TYC_1085,Modern Cuisine,modern-cuisine,Aromata,73555
TYC_6,Contemporary,contemporary,La Bola de Jorge Bosch,73554
TYC_1122,Traditional Cuisine,traditional-cuisine,Es Canyis,73553
TYC_1161,Fusion,fusion-1161,Dos Palillos,73552
TYC_1101,Regional Cuisine,regional-cuisine,Béns d'Avall,73551
TYC_1085,Modern Cuisine,modern-cuisine,Marc Fosh,73550
TYC_1161,Fusion,fusion-1161,Roc´n´Cris,73549
TYC_1036,Creative,creative,Sa Pedrera d'es Pujol,73547
TYC_1036,Creative,creative,Yayo Daporta,73546
TYC_1085,Modern Cuisine,modern-cuisine,Mon Restaurant,73545
TYC_1036,Creative,creative,Mon Restaurant,73545
